latitude,longitude,language
48.382929,31.181446,uk
48.382929,31.181446,uk
48.382929,31.181446,ru
43.3531475,-5.8812,es
43.3531475,-5.8812,es
53.0193965,-2.1540125000000003,en
40.6648765,16.570204500000003,it
48.154878999999994,11.5417535,de
42.43972705,-8.06074363,es
51.4983515,10.811318,de
54.501807,-5.790031,en
51.922788,4.3190124999999995,nl
51.922788,4.3190124999999995,nl
51.922788,4.3190124999999995,nl
51.922788,4.3190124999999995,nl
48.7907445,2.3319535,fr
48.7907445,2.3319535,fr
53.8159335,-1.76682,en
53.8159335,-1.76682,en
51.3854455,-0.2527539999999999,en
55.936927,-3.248374,en
41.658122,9.300341,und
61.631930999999994,23.8303145,fi
51.9501445,7.624091,de
56.0119155,-3.8027855,en
52.62506449999999,1.4405175,en
40.69022,30.1219965,tr
46.528765,6.6523585,ar
46.528765,6.6523585,ar
46.528765,6.6523585,ar
55.958047,-2.9789934999999996,en
55.958047,-2.9789934999999996,en
42.703611499999994,19.3933045,en
42.703611499999994,19.3933045,und
51.3854455,-0.2527539999999999,en
51.796608000000006,-0.07775850000000001,en
50.355087,-4.450321000000001,en
50.355087,-4.450321000000001,en
53.4198785,-2.915427,en
51.7185625,-3.4529604999999997,en
51.7185625,-3.4529604999999997,und
41.301428,27.981934000000003,tr
53.517648,-1.13936,en
52.411913,-1.5186514999999998,en
45.652673,4.787224500000001,fr
39.8889765,32.8183815,tr
53.9318445,-1.2074825,en
54.341804499999995,10.1257525,nl
52.015122,8.520513000000001,ru
41.8984165,12.5451455,de
41.8984165,12.5451455,de
41.8984165,12.5451455,de
41.8984165,12.5451455,de
41.8984165,12.5451455,de
41.8984165,12.5451455,de
41.8984165,12.5451455,eu
49.206002,2.124881,und
41.312529999999995,2.1021375,es
47.672646,6.847559499999999,fr
52.404436,-4.0016169999999995,en
41.8984165,12.5451455,und
41.8984165,12.5451455,it
40.8474695,35.4256655,tr
40.8474695,35.4256655,tr
38.9334785,28.264286,tr
40.4544,-3.67848,es
50.341003,-4.7734115,und
43.6262175,4.3102374999999995,fr
55.6367795,-4.7448915,en
51.537060999999994,-0.442361,pt
51.537060999999994,-0.442361,pt
57.739454,-4.200441,en
51.6118845,-0.2108945,en
51.6118845,-0.2108945,en
51.6118845,-0.2108945,en
51.6118845,-0.2108945,en
51.6118845,-0.2108945,en
51.6118845,-0.2108945,en
55.7547875,37.427642500000005,ru
53.613651,-0.182691,en
54.9438585,-1.641241,en
54.9438585,-1.641241,en
54.9438585,-1.641241,en
50.840332,-0.130356,en
49.758235,6.642604,de
49.758235,6.642604,de
47.377469000000005,8.5367615,en
